,restaurant_name,img_link
12,Bar Corallini,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photosV2/837bf6d2-108a-4350-9194-d6ff7f547a8c-retina-large.JPG"
13,Sbarro,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photosV2/cdf4aec8-b785-4fc3-8fed-5461612aa97e-3e7a692f-9329-402a-afa6-6b949f285171-retina-large.JPG"
14,Novanta Pizza,
15,Donatos Pizza,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photosV2/31438c3c-a06f-471c-bf6b-dff5ce457043-retina-large.png"
16,Benvenuto's,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photosV2/b6c277a0-dec1-49d7-8f73-9f73b66155e4-retina-large.JPG"
17,Pizza Pit - Madison-West,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photosV2/e6010157-294c-43a5-8883-2186f0e62582-retina-large.jpeg"
18,lazy oaf lounge,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photos/0bc49bf8-fe43-4e55-bd65-de12422979a0-retina-large.jpg"
19,Tutto Pasta State Street,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photosV2/78da4ca5-473e-4351-9580-e4464a020a91-retina-large.JPG"
20,Roman Candle Pizzeria,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photosV2/2d839f9f-4b81-4e4f-ae47-db67ca1740f0-retina-large.JPG"
21,Wiscow Pizza and Wings,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photosV2/332242d1-5e54-4fa1-a332-e52e338fefd1-retina-large.jpg"
22,EAT the best pizza,
23,Buster's American Kitchen,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photosV2/cbd1f90e-3140-46e1-ab12-25cb83c56edd-7a7e2bd3-813c-46e1-9d9a-1fef20647b62-retina-large.JPG"
24,Pasqually's Pizza & Wings,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photosV2/f965cd7f-20ca-4a4d-aea4-fd1c47b521d4-retina-large.jpg"
25,FREAKING GOOD PIZZA,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photosV2/f9afcef1-5eb4-4258-9db1-5c882554008d-retina-large.jpeg"
26,Papa Murphy's Take 'N' Bake Pizza,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photosV2/3adc0b92-04a7-47f9-8320-3b6fa53c66d1-retina-large.jpg"
27,Chuck E. Cheese,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photosV2/92f01078-a11d-4e90-817f-7b2333344ec1-retina-large.jpg"
28,Mia Pizza,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photos/ff84b4b6-5c69-4e22-9721-45c0291b2fb8-retina-large-jpeg"
29,Catering by Hy-Vee,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photosV2/8ce203a1-1031-4425-8afb-41ec5d74fff8-retina-large.JPG"
30,"LankyBox Kitchen Pizza, Wings and Mac","https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photosV2/4c8da2d8-242d-4af4-b681-3cecf57b3499-retina-large.jpg"
31,Village Pizza,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photos/9668df0c-46bf-4a62-b135-4c73bc52540c-retina-large-jpeg"
32,Tuscany Pasta and Pizza,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photos/3f90260b-eace-4aed-b3c8-56384d82cc96-retina-large-jpeg"
