,restaurant_name,score,rest_url,img_link
25,Mr. Brews Taphouse,4.3,https://www.doordash.com/store/mr.-brews-taphouse-monona-302662/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photos/d6b98215-4c4e-464a-8c23-c8dd4714c839-retina-large-jpeg"
27,$5 Burgers,4.3,https://www.doordash.com/store/%245-burgers-madison-2183478/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photosV2/ae0c2e60-cd8f-458a-9c8c-9b4993e76b7d-retina-large.png"
3,Shake Shack,4.3,https://www.doordash.com/store/shake-shack-madison-1249899/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photosV2/9dcfb8ac-c160-4f3d-9ad2-f1da83352f8c-retina-large.jpg"
10,Famous Dave's,4.2,https://www.doordash.com/store/famous-dave%27s-madison-656008/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photosV2/3633e343-cc2f-47f9-94f5-6b8f8214ab69-1a2d3732-8507-4063-8aef-5aa83704500b-retina-large.JPG"
29,Monk's Bar & Grill,4.2,https://www.doordash.com/store/monk%27s-bar-%26-grill-middleton-289140/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photosV2/306982fe-8f44-4564-b2b9-ef67dafc7942-retina-large.jpg"
21,Hy-Vee Mealtime,4.1,https://www.doordash.com/store/hy-vee-mealtime-madison-940796/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photos/f434e13e-58fb-48a4-868c-b775644b9008-retina-large-jpeg"
14,Red Robin Gourmet Burgers and Brews,4.0,https://www.doordash.com/store/red-robin-gourmet-burgers-and-brews-monona-294366/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photosV2/fe2db2c0-294f-449f-a44a-0d7e1f15eab2-retina-large.png"
2,Burger King,3.9,https://www.doordash.com/store/burger-king-madison-482086/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photosV2/5769aab7-e459-4c2c-97ea-032863534b9e-retina-large.png"
35,Sabores fusion Grill,3.9,https://www.doordash.com/store/sabores-fusion-grill-madison-24036433/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photosV2/8e977558-9945-4ba8-9bcf-d9b9e1d3b832-retina-large.JPG"
20,MrBeast Burger,3.8,https://www.doordash.com/store/mrbeast-burger-madison-2257785/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photosV2/8605db4f-75a0-442a-af84-b94216c871b4-retina-large.jpg"
24,Cluck,3.8,https://www.doordash.com/store/cluck-madison-1459659/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photos/86e10453-cc6f-497c-a960-886a19606ec9-retina-large-jpeg"
28,Dairy Queen,3.7,https://www.doordash.com/store/dairy-queen-madison-955744/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photos/8aecee00-9a1f-4de5-bf90-4be610dffc21-retina-large-jpeg"
17,Me & Julio,3.7,https://www.doordash.com/store/me-%26-julio-fitchburg-289020/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photos/6dd45972-cef2-4ebb-bc46-c851538f66e9-retina-large-jpeg"
37,SCONNIEBAR,3.7,https://www.doordash.com/store/sconniebar-madison-288974/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photos/01707de3-ed64-40e6-970d-66050697adc6-retina-large.jpg"
38,Five Guys Burgers & Fries,3.7,https://www.doordash.com/store/five-guys-burgers-%26-fries-madison-397898/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photosV2/0911200c-8ce0-4f35-b875-0441a75a5f0c-retina-large.jpg"
9,KFC,3.7,https://www.doordash.com/store/kfc-madison-1129102/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photosV2/83121a8d-53ae-4b0f-af80-d15da6f4d04b-retina-large.JPG"
40,Sweet Home Wisconsin,3.7,https://www.doordash.com/store/sweet-home-wisconsin-madison-2435686/,
